id,phase,phase_name,category,module,requirement,agent,ui,backend,database,api,tool,dependency,external_dependency,test,acceptance_criteria,status
R0157,10,Software Factory,SOFTWARE,SDLC Pipeline,Architecture,,,yes,,,yes,Phase 9,,not tested,See phase acceptance gate in master spec,MINIMAL
R0158,10,Software Factory,SOFTWARE,SDLC Pipeline,Database Design,,,yes,,,yes,Phase 9,,not tested,See phase acceptance gate in master spec,MINIMAL
R0159,10,Software Factory,SOFTWARE,SDLC Pipeline,UI/UX,,,yes,,,yes,Phase 9,,not tested,See phase acceptance gate in master spec,MINIMAL
R0160,10,Software Factory,SOFTWARE,SDLC Pipeline,Frontend,,,yes,,,yes,Phase 9,,not tested,See phase acceptance gate in master spec,MINIMAL
R0161,10,Software Factory,SOFTWARE,SDLC Pipeline,Backend,,,yes,,,yes,Phase 9,,not tested,See phase acceptance gate in master spec,MINIMAL
R0162,10,Software Factory,SOFTWARE,SDLC Pipeline,API,,,yes,,,yes,Phase 9,,not tested,See phase acceptance gate in master spec,MINIMAL
R0163,10,Software Factory,SOFTWARE,SDLC Pipeline,Authentication,,,yes,,,yes,Phase 9,,not tested,See phase acceptance gate in master spec,MINIMAL
R0164,10,Software Factory,SOFTWARE,SDLC Pipeline,Authorization,,,yes,,,yes,Phase 9,,not tested,See phase acceptance gate in master spec,MINIMAL
R0165,10,Software Factory,SOFTWARE,SDLC Pipeline,Code Generation,,,yes,,,yes,Phase 9,,not tested,See phase acceptance gate in master spec,MINIMAL
R0166,10,Software Factory,SOFTWARE,SDLC Pipeline,Code Editing,,,yes,,,yes,Phase 9,,not tested,See phase acceptance gate in master spec,MINIMAL
R0167,10,Software Factory,SOFTWARE,SDLC Pipeline,Terminal,,,yes,,,yes,Phase 9,,not tested,See phase acceptance gate in master spec,MINIMAL
R0168,10,Software Factory,SOFTWARE,SDLC Pipeline,Code Execution,,,yes,,,yes,Phase 9,,not tested,See phase acceptance gate in master spec,MINIMAL
R0169,10,Software Factory,SOFTWARE,SDLC Pipeline,Testing,,,yes,,,yes,Phase 9,,not tested,See phase acceptance gate in master spec,MINIMAL
R0170,10,Software Factory,SOFTWARE,SDLC Pipeline,Linting,,,yes,,,yes,Phase 9,,not tested,See phase acceptance gate in master spec,MINIMAL
R0171,10,Software Factory,SOFTWARE,SDLC Pipeline,Typechecking,,,yes,,,yes,Phase 9,,not tested,See phase acceptance gate in master spec,MINIMAL
R0172,10,Software Factory,SOFTWARE,SDLC Pipeline,Security Review,,,yes,,,yes,Phase 9,,not tested,See phase acceptance gate in master spec,MINIMAL
R0173,10,Software Factory,SOFTWARE,SDLC Pipeline,Performance Review,,,yes,,,yes,Phase 9,,not tested,See phase acceptance gate in master spec,MINIMAL
R0174,10,Software Factory,SOFTWARE,SDLC Pipeline,Deployment,,,yes,,,yes,Phase 9,,not tested,See phase acceptance gate in master spec,MINIMAL
R0175,10,Software Factory,SOFTWARE,SDLC Pipeline,Rollback,,,yes,,,yes,Phase 9,,not tested,See phase acceptance gate in master spec,MINIMAL
R0176,10,Software Factory,INTEGRATION,VCS Integration,GitHub,,,yes,,yes,,Phase 9,,not tested,See phase acceptance gate in master spec,MINIMAL
R0177,10,Software Factory,INTEGRATION,VCS Integration,GitLab,,,yes,,yes,,Phase 9,,not tested,See phase acceptance gate in master spec,MINIMAL
R0178,10,Software Factory,INTEGRATION,VCS Integration,Bitbucket,,,yes,,yes,,Phase 9,,not tested,See phase acceptance gate in master spec,MINIMAL
R0179,11,"Code Review, Gap Detection & Optimization",SOFTWARE,Review Agents,Code Auditor,,,yes,,,yes,Phase 10,,not tested,See phase acceptance gate in master spec,NOT STARTED
R0180,11,"Code Review, Gap Detection & Optimization",SOFTWARE,Review Agents,Architecture Reviewer,,,yes,,,yes,Phase 10,,not tested,See phase acceptance gate in master spec,NOT STARTED
R0181,11,"Code Review, Gap Detection & Optimization",SOFTWARE,Review Agents,Bug Detector,,,yes,,,yes,Phase 10,,not tested,See phase acceptance gate in master spec,NOT STARTED
R0182,11,"Code Review, Gap Detection & Optimization",SOFTWARE,Review Agents,Security Scanner,,,yes,,,yes,Phase 10,,not tested,See phase acceptance gate in master spec,NOT STARTED
R0183,11,"Code Review, Gap Detection & Optimization",SOFTWARE,Review Agents,Performance Analyzer,,,yes,,,yes,Phase 10,,not tested,See phase acceptance gate in master spec,NOT STARTED
R0184,11,"Code Review, Gap Detection & Optimization",SOFTWARE,Review Agents,Accessibility Analyzer,,,yes,,,yes,Phase 10,,not tested,See phase acceptance gate in master spec,NOT STARTED
R0185,11,"Code Review, Gap Detection & Optimization",SOFTWARE,Review Agents,SEO Analyzer,,,yes,,,yes,Phase 10,,not tested,See phase acceptance gate in master spec,NOT STARTED
R0186,11,"Code Review, Gap Detection & Optimization",SOFTWARE,Review Agents,Refactoring Agent,yes,,yes,,,yes,Phase 10,,not tested,See phase acceptance gate in master spec,NOT STARTED
R0187,11,"Code Review, Gap Detection & Optimization",SOFTWARE,Review Agents,Optimization Agent,yes,,yes,,,yes,Phase 10,,not tested,See phase acceptance gate in master spec,NOT STARTED
R0188,12,Image & Brand Studio,IMAGE,Image Editing,Image Generation,,,yes,,,,Phase 11,OpenAI DALL-E API key,not tested,See phase acceptance gate in master spec,MINIMAL
R0189,12,Image & Brand Studio,IMAGE,Image Editing,Image Editing,,,yes,,,,Phase 11,OpenAI DALL-E API key,not tested,See phase acceptance gate in master spec,MINIMAL
R0190,12,Image & Brand Studio,IMAGE,Image Editing,Object Removal,,,yes,,,,Phase 11,OpenAI DALL-E API key,not tested,See phase acceptance gate in master spec,MINIMAL
R0191,12,Image & Brand Studio,IMAGE,Image Editing,Object Replacement,,,yes,,,,Phase 11,OpenAI DALL-E API key,not tested,See phase acceptance gate in master spec,MINIMAL
R0192,12,Image & Brand Studio,IMAGE,Image Editing,Generative Fill,,,yes,,,,Phase 11,OpenAI DALL-E API key,not tested,See phase acceptance gate in master spec,MINIMAL
R0193,12,Image & Brand Studio,IMAGE,Image Editing,Upscaling,,,yes,,,,Phase 11,OpenAI DALL-E API key,not tested,See phase acceptance gate in master spec,MINIMAL
R0194,12,Image & Brand Studio,IMAGE,Image Editing,Super Resolution,,,yes,,,,Phase 11,OpenAI DALL-E API key,not tested,See phase acceptance gate in master spec,MINIMAL
R0195,12,Image & Brand Studio,IMAGE,Image Editing,Retouching,,,yes,,,,Phase 11,OpenAI DALL-E API key,not tested,See phase acceptance gate in master spec,MINIMAL
R0196,12,Image & Brand Studio,IMAGE,Image Editing,Compositing,,,yes,,,,Phase 11,OpenAI DALL-E API key,not tested,See phase acceptance gate in master spec,MINIMAL
R0197,12,Image & Brand Studio,IMAGE,Image Editing,Layers,,,yes,,,,Phase 11,OpenAI DALL-E API key,not tested,See phase acceptance gate in master spec,MINIMAL
R0198,12,Image & Brand Studio,IMAGE,Image Editing,Masks,,,yes,,,,Phase 11,OpenAI DALL-E API key,not tested,See phase acceptance gate in master spec,MINIMAL
R0199,12,Image & Brand Studio,IMAGE,Image Editing,Color,,,yes,,,,Phase 11,OpenAI DALL-E API key,not tested,See phase acceptance gate in master spec,MINIMAL
R0200,12,Image & Brand Studio,IMAGE,Image Editing,Lighting,,,yes,,,,Phase 11,OpenAI DALL-E API key,not tested,See phase acceptance gate in master spec,MINIMAL
R0201,12,Image & Brand Studio,IMAGE,Image Editing,Text,,,yes,,,,Phase 11,OpenAI DALL-E API key,not tested,See phase acceptance gate in master spec,MINIMAL
R0202,12,Image & Brand Studio,IMAGE,Image Editing,Shapes,,,yes,,,,Phase 11,OpenAI DALL-E API key,not tested,See phase acceptance gate in master spec,MINIMAL
R0203,12,Image & Brand Studio,IMAGE,Image Editing,Batch Editing,,,yes,,,,Phase 11,OpenAI DALL-E API key,not tested,See phase acceptance gate in master spec,MINIMAL
R0204,12,Image & Brand Studio,DESIGN,Brand System,Logo,,,yes,,,,Phase 11,OpenAI DALL-E API key,not tested,See phase acceptance gate in master spec,MINIMAL
R0205,12,Image & Brand Studio,DESIGN,Brand System,Wordmark,,,yes,,,,Phase 11,OpenAI DALL-E API key,not tested,See phase acceptance gate in master spec,MINIMAL
R0206,12,Image & Brand Studio,DESIGN,Brand System,Icon,,,yes,,,,Phase 11,OpenAI DALL-E API key,not tested,See phase acceptance gate in master spec,MINIMAL
R0207,12,Image & Brand Studio,DESIGN,Brand System,Favicon,,,yes,,,,Phase 11,OpenAI DALL-E API key,not tested,See phase acceptance gate in master spec,MINIMAL
R0208,12,Image & Brand Studio,DESIGN,Brand System,Brand Colors,,,yes,,,,Phase 11,OpenAI DALL-E API key,not tested,See phase acceptance gate in master spec,MINIMAL
R0209,12,Image & Brand Studio,DESIGN,Brand System,Typography,,,yes,,,,Phase 11,OpenAI DALL-E API key,not tested,See phase acceptance gate in master spec,MINIMAL
R0210,12,Image & Brand Studio,DESIGN,Brand System,Brand Guide,,,yes,,,,Phase 11,OpenAI DALL-E API key,not tested,See phase acceptance gate in master spec,MINIMAL
R0211,12,Image & Brand Studio,DESIGN,Brand System,Social Assets,,,yes,,,,Phase 11,OpenAI DALL-E API key,not tested,See phase acceptance gate in master spec,MINIMAL
R0212,12,Image & Brand Studio,DESIGN,Brand System,Ad Assets,,,yes,,,,Phase 11,OpenAI DALL-E API key,not tested,See phase acceptance gate in master spec,MINIMAL
R0213,13,Vector & Professional Design Studio,DESIGN,Vector Tools,Bezier,,,yes,,,,Phase 12,,not tested,See phase acceptance gate in master spec,NOT STARTED
R0214,13,Vector & Professional Design Studio,DESIGN,Vector Tools,Pen,,,yes,,,,Phase 12,,not tested,See phase acceptance gate in master spec,NOT STARTED
R0215,13,Vector & Professional Design Studio,DESIGN,Vector Tools,Nodes,,,yes,,,,Phase 12,,not tested,See phase acceptance gate in master spec,NOT STARTED
R0216,13,Vector & Professional Design Studio,DESIGN,Vector Tools,Curves,,,yes,,,,Phase 12,,not tested,See phase acceptance gate in master spec,NOT STARTED
R0217,13,Vector & Professional Design Studio,DESIGN,Vector Tools,Boolean Operations,,,yes,,,,Phase 12,,not tested,See phase acceptance gate in master spec,NOT STARTED
R0218,13,Vector & Professional Design Studio,DESIGN,Vector Tools,Shape Builder,,,yes,,,,Phase 12,,not tested,See phase acceptance gate in master spec,NOT STARTED
R0219,13,Vector & Professional Design Studio,DESIGN,Vector Tools,Vector Brushes,,,yes,,,,Phase 12,,not tested,See phase acceptance gate in master spec,NOT STARTED
R0220,13,Vector & Professional Design Studio,DESIGN,Vector Tools,Gradients,,,yes,,,,Phase 12,,not tested,See phase acceptance gate in master spec,NOT STARTED
R0221,13,Vector & Professional Design Studio,DESIGN,Vector Tools,Patterns,,,yes,,,,Phase 12,,not tested,See phase acceptance gate in master spec,NOT STARTED
R0222,13,Vector & Professional Design Studio,DESIGN,Vector Tools,Text on Path,,,yes,,,,Phase 12,,not tested,See phase acceptance gate in master spec,NOT STARTED
R0223,13,Vector & Professional Design Studio,DESIGN,Vector Tools,SVG,,,yes,,,,Phase 12,,not tested,See phase acceptance gate in master spec,NOT STARTED
R0224,13,Vector & Professional Design Studio,DESIGN,Vector Tools,Symbols,,,yes,,,,Phase 12,,not tested,See phase acceptance gate in master spec,NOT STARTED
R0225,13,Vector & Professional Design Studio,DESIGN,Vector Tools,Reusable design systems,,,yes,,,,Phase 12,,not tested,See phase acceptance gate in master spec,NOT STARTED
R0226,14,Video & Cinematic Studio,VIDEO,Video Editing,Video Generation,,,yes,,,,Phase 13,"No video-gen provider selected (Runway/Pika/Sora candidates, none wired)",not tested,See phase acceptance gate in master spec,NOT STARTED
R0227,14,Video & Cinematic Studio,VIDEO,Video Editing,Video Editing,,,yes,,,,Phase 13,"No video-gen provider selected (Runway/Pika/Sora candidates, none wired)",not tested,See phase acceptance gate in master spec,NOT STARTED
R0228,14,Video & Cinematic Studio,VIDEO,Video Editing,Timeline,,,yes,,,,Phase 13,"No video-gen provider selected (Runway/Pika/Sora candidates, none wired)",not tested,See phase acceptance gate in master spec,NOT STARTED
R0229,14,Video & Cinematic Studio,VIDEO,Video Editing,Multi-Track,,,yes,,,,Phase 13,"No video-gen provider selected (Runway/Pika/Sora candidates, none wired)",not tested,See phase acceptance gate in master spec,NOT STARTED
R0230,14,Video & Cinematic Studio,VIDEO,Video Editing,Transitions,,,yes,,,,Phase 13,"No video-gen provider selected (Runway/Pika/Sora candidates, none wired)",not tested,See phase acceptance gate in master spec,NOT STARTED
R0231,14,Video & Cinematic Studio,VIDEO,Video Editing,Motion Graphics,,,yes,,,,Phase 13,"No video-gen provider selected (Runway/Pika/Sora candidates, none wired)",not tested,See phase acceptance gate in master spec,NOT STARTED
R0232,14,Video & Cinematic Studio,VIDEO,Video Editing,Keyframes,,,yes,,,,Phase 13,"No video-gen provider selected (Runway/Pika/Sora candidates, none wired)",not tested,See phase acceptance gate in master spec,NOT STARTED
R0233,14,Video & Cinematic Studio,VIDEO,Video Editing,Captions,,,yes,,,,Phase 13,"No video-gen provider selected (Runway/Pika/Sora candidates, none wired)",not tested,See phase acceptance gate in master spec,NOT STARTED
R0234,14,Video & Cinematic Studio,VIDEO,Video Editing,Subtitles,,,yes,,,,Phase 13,"No video-gen provider selected (Runway/Pika/Sora candidates, none wired)",not tested,See phase acceptance gate in master spec,NOT STARTED
R0235,14,Video & Cinematic Studio,VIDEO,Video Editing,Audio,,,yes,,,,Phase 13,"No video-gen provider selected (Runway/Pika/Sora candidates, none wired)",not tested,See phase acceptance gate in master spec,NOT STARTED
R0236,14,Video & Cinematic Studio,VIDEO,Video Editing,Voice-over,,,yes,,,,Phase 13,"No video-gen provider selected (Runway/Pika/Sora candidates, none wired)",not tested,See phase acceptance gate in master spec,NOT STARTED
R0237,14,Video & Cinematic Studio,VIDEO,Video Editing,Color,,,yes,,,,Phase 13,"No video-gen provider selected (Runway/Pika/Sora candidates, none wired)",not tested,See phase acceptance gate in master spec,NOT STARTED
R0238,14,Video & Cinematic Studio,VIDEO,Video Editing,Tracking,,,yes,,,,Phase 13,"No video-gen provider selected (Runway/Pika/Sora candidates, none wired)",not tested,See phase acceptance gate in master spec,NOT STARTED
R0239,14,Video & Cinematic Studio,VIDEO,Video Editing,Background Replacement,,,yes,,,,Phase 13,"No video-gen provider selected (Runway/Pika/Sora candidates, none wired)",not tested,See phase acceptance gate in master spec,NOT STARTED
R0240,14,Video & Cinematic Studio,AGENT,Director Agents,Cinematic Director Agent,yes,,yes,,,,Phase 13,"No video-gen provider selected (Runway/Pika/Sora candidates, none wired)",not tested,See phase acceptance gate in master spec,NOT STARTED
R0241,14,Video & Cinematic Studio,AGENT,Director Agents,Story Director Agent,yes,,yes,,,,Phase 13,"No video-gen provider selected (Runway/Pika/Sora candidates, none wired)",not tested,See phase acceptance gate in master spec,NOT STARTED
R0242,14,Video & Cinematic Studio,AGENT,Director Agents,Scene/Character/Location/Wardrobe/Lighting/Voice/Story continuity,yes,,yes,,,,Phase 13,"No video-gen provider selected (Runway/Pika/Sora candidates, none wired)",not tested,See phase acceptance gate in master spec,NOT STARTED
R0243,15,"UGC, Avatar & Media Cloning",VIDEO,Avatar/UGC,UGC Generator,,,yes,,,,Phase 14,No avatar/voice-clone provider selected; requires likeness/voice authorization flow,not tested,See phase acceptance gate in master spec,NOT STARTED
R0244,15,"UGC, Avatar & Media Cloning",VIDEO,Avatar/UGC,Creator Personas,,,yes,,,,Phase 14,No avatar/voice-clone provider selected; requires likeness/voice authorization flow,not tested,See phase acceptance gate in master spec,NOT STARTED
R0245,15,"UGC, Avatar & Media Cloning",VIDEO,Avatar/UGC,Talking Avatars,,,yes,,,,Phase 14,No avatar/voice-clone provider selected; requires likeness/voice authorization flow,not tested,See phase acceptance gate in master spec,NOT STARTED
R0246,15,"UGC, Avatar & Media Cloning",VIDEO,Avatar/UGC,Virtual Presenters,,,yes,,,,Phase 14,No avatar/voice-clone provider selected; requires likeness/voice authorization flow,not tested,See phase acceptance gate in master spec,NOT STARTED
R0247,15,"UGC, Avatar & Media Cloning",VIDEO,Avatar/UGC,Voice,,,yes,,,,Phase 14,No avatar/voice-clone provider selected; requires likeness/voice authorization flow,not tested,See phase acceptance gate in master spec,NOT STARTED
R0248,15,"UGC, Avatar & Media Cloning",VIDEO,Avatar/UGC,Lip Sync,,,yes,,,,Phase 14,No avatar/voice-clone provider selected; requires likeness/voice authorization flow,not tested,See phase acceptance gate in master spec,NOT STARTED
R0249,15,"UGC, Avatar & Media Cloning",VIDEO,Avatar/UGC,Facial Expressions,,,yes,,,,Phase 14,No avatar/voice-clone provider selected; requires likeness/voice authorization flow,not tested,See phase acceptance gate in master spec,NOT STARTED
R0250,15,"UGC, Avatar & Media Cloning",VIDEO,Avatar/UGC,Gestures,,,yes,,,,Phase 14,No avatar/voice-clone provider selected; requires likeness/voice authorization flow,not tested,See phase acceptance gate in master spec,NOT STARTED
R0251,15,"UGC, Avatar & Media Cloning",VIDEO,Avatar/UGC,Authorized image/video transformation,,,yes,,,,Phase 14,No avatar/voice-clone provider selected; requires likeness/voice authorization flow,not tested,See phase acceptance gate in master spec,NOT STARTED
R0252,15,"UGC, Avatar & Media Cloning",VIDEO,Avatar/UGC,Character & voice consistency,,,yes,,,,Phase 14,No avatar/voice-clone provider selected; requires likeness/voice authorization flow,not tested,See phase acceptance gate in master spec,NOT STARTED
R0253,15,"UGC, Avatar & Media Cloning",VIDEO,Avatar/UGC,Likeness/voice authorization gate,,,yes,,,,Phase 14,No avatar/voice-clone provider selected; requires likeness/voice authorization flow,not tested,See phase acceptance gate in master spec,NOT STARTED
R0254,16,Advertising & Story Engine,CREATIVE,Ad Generation,Ad Generator,,,yes,,,,Phase 15,,not tested,See phase acceptance gate in master spec,MINIMAL
R0255,16,Advertising & Story Engine,CREATIVE,Ad Generation,Ad Skit Generator,,,yes,,,,Phase 15,,not tested,See phase acceptance gate in master spec,MINIMAL
R0256,16,Advertising & Story Engine,CREATIVE,Ad Generation,Story Engine,,,yes,,,,Phase 15,,not tested,See phase acceptance gate in master spec,MINIMAL
R0257,16,Advertising & Story Engine,CREATIVE,Ad Generation,Creative Director,,,yes,,,,Phase 15,,not tested,See phase acceptance gate in master spec,MINIMAL
R0258,16,Advertising & Story Engine,CREATIVE,Ad Generation,Hook Generator,,,yes,,,,Phase 15,,not tested,See phase acceptance gate in master spec,MINIMAL
R0259,16,Advertising & Story Engine,CREATIVE,Ad Generation,CTA Generator,,,yes,,,,Phase 15,,not tested,See phase acceptance gate in master spec,MINIMAL
R0260,16,Advertising & Story Engine,CREATIVE,Ad Generation,Campaign Generator,,,yes,,,,Phase 15,,not tested,See phase acceptance gate in master spec,MINIMAL
R0261,16,Advertising & Story Engine,CREATIVE,Ad Generation,Creative Variant Generator,,,yes,,,,Phase 15,,not tested,See phase acceptance gate in master spec,MINIMAL
R0262,16,Advertising & Story Engine,CREATIVE,Ad Generation,Duration variants (10-90s),,,yes,,,,Phase 15,,not tested,See phase acceptance gate in master spec,MINIMAL
R0263,16,Advertising & Story Engine,CREATIVE,Ad Generation,Story archetypes,,,yes,,,,Phase 15,,not tested,See phase acceptance gate in master spec,MINIMAL
R0264,17,SEO & Content Engine,SEO,SEO Infra,Keyword Research,,,yes,,,,Phase 16,,not tested,See phase acceptance gate in master spec,MINIMAL
R0265,17,SEO & Content Engine,SEO,SEO Infra,Search Intent,,,yes,,,,Phase 16,,not tested,See phase acceptance gate in master spec,MINIMAL
R0266,17,SEO & Content Engine,SEO,SEO Infra,Topic Clustering,,,yes,,,,Phase 16,,not tested,See phase acceptance gate in master spec,MINIMAL
R0267,17,SEO & Content Engine,SEO,SEO Infra,Competitor SEO,,,yes,,,,Phase 16,,not tested,See phase acceptance gate in master spec,MINIMAL
R0268,17,SEO & Content Engine,SEO,SEO Infra,Content Gaps,,,yes,,,,Phase 16,,not tested,See phase acceptance gate in master spec,MINIMAL
R0269,17,SEO & Content Engine,SEO,SEO Infra,Technical SEO,,,yes,,,,Phase 16,,not tested,See phase acceptance gate in master spec,MINIMAL
R0270,17,SEO & Content Engine,SEO,SEO Infra,On-page SEO,,,yes,,,,Phase 16,,not tested,See phase acceptance gate in master spec,MINIMAL
R0271,17,SEO & Content Engine,SEO,SEO Infra,Internal Linking,,,yes,,,,Phase 16,,not tested,See phase acceptance gate in master spec,MINIMAL
R0272,17,SEO & Content Engine,SEO,SEO Infra,Metadata,,,yes,,,,Phase 16,,not tested,See phase acceptance gate in master spec,MINIMAL
R0273,17,SEO & Content Engine,SEO,SEO Infra,Schema,,,yes,,,,Phase 16,,not tested,See phase acceptance gate in master spec,MINIMAL
R0274,17,SEO & Content Engine,SEO,SEO Infra,Alt Text,,,yes,,,,Phase 16,,not tested,See phase acceptance gate in master spec,MINIMAL
R0275,17,SEO & Content Engine,SEO,SEO Infra,Video SEO,,,yes,,,,Phase 16,,not tested,See phase acceptance gate in master spec,MINIMAL
R0276,17,SEO & Content Engine,SEO,SEO Infra,Local SEO,,,yes,,,,Phase 16,,not tested,See phase acceptance gate in master spec,MINIMAL
R0277,17,SEO & Content Engine,SEO,SEO Infra,International SEO,,,yes,,,,Phase 16,,not tested,See phase acceptance gate in master spec,MINIMAL
R0278,17,SEO & Content Engine,MARKETING,Writing Engine,Human-quality writing engine,,,yes,,yes,,Phase 16,,not tested,See phase acceptance gate in master spec,MINIMAL
R0279,17,SEO & Content Engine,MARKETING,Writing Engine,Long-form article structure,,,yes,,yes,,Phase 16,,not tested,See phase acceptance gate in master spec,MINIMAL
R0280,17,SEO & Content Engine,MARKETING,Writing Engine,Comma-separated keyword handling,,,yes,,yes,,Phase 16,,not tested,See phase acceptance gate in master spec,MINIMAL
R0281,18,Marketing Intelligence Engine,MARKETING,Marketing Infra,Target Market Engine,,,yes,,yes,,Phase 17,,not tested,See phase acceptance gate in master spec,NOT STARTED
R0282,18,Marketing Intelligence Engine,MARKETING,Marketing Infra,Persona Engine,,,yes,,yes,,Phase 17,,not tested,See phase acceptance gate in master spec,NOT STARTED
R0283,18,Marketing Intelligence Engine,MARKETING,Marketing Infra,Customer Journey,,,yes,,yes,,Phase 17,,not tested,See phase acceptance gate in master spec,NOT STARTED
R0284,18,Marketing Intelligence Engine,MARKETING,Marketing Infra,Marketing Analytics,,,yes,,yes,,Phase 17,,not tested,See phase acceptance gate in master spec,NOT STARTED
R0285,18,Marketing Intelligence Engine,MARKETING,Marketing Infra,Campaign Planning,,,yes,,yes,,Phase 17,,not tested,See phase acceptance gate in master spec,NOT STARTED
R0286,18,Marketing Intelligence Engine,MARKETING,Marketing Infra,Content Strategy,,,yes,,yes,,Phase 17,,not tested,See phase acceptance gate in master spec,NOT STARTED
R0287,18,Marketing Intelligence Engine,MARKETING,Marketing Infra,Creative Strategy,,,yes,,yes,,Phase 17,,not tested,See phase acceptance gate in master spec,NOT STARTED
R0288,18,Marketing Intelligence Engine,MARKETING,Marketing Infra,Social Growth,,,yes,,yes,,Phase 17,,not tested,See phase acceptance gate in master spec,NOT STARTED
R0289,18,Marketing Intelligence Engine,MARKETING,Marketing Infra,Email Marketing,,,yes,,yes,,Phase 17,,not tested,See phase acceptance gate in master spec,NOT STARTED
R0290,18,Marketing Intelligence Engine,MARKETING,Marketing Infra,Influencer Strategy,,,yes,,yes,,Phase 17,,not tested,See phase acceptance gate in master spec,NOT STARTED
R0291,18,Marketing Intelligence Engine,MARKETING,Marketing Infra,Community Growth,,,yes,,yes,,Phase 17,,not tested,See phase acceptance gate in master spec,NOT STARTED
R0292,18,Marketing Intelligence Engine,MARKETING,Marketing Infra,Conversion Optimization,,,yes,,yes,,Phase 17,,not tested,See phase acceptance gate in master spec,NOT STARTED
R0293,19,Competitor & Traffic Intelligence,MARKETING,Competitor Intel,Competitor Discovery,,,yes,,yes,,Phase 18,No traffic-estimation provider (SimilarWeb-class) selected,not tested,See phase acceptance gate in master spec,MINIMAL
R0294,19,Competitor & Traffic Intelligence,MARKETING,Competitor Intel,Competitor Profiles,,,yes,,yes,,Phase 18,No traffic-estimation provider (SimilarWeb-class) selected,not tested,See phase acceptance gate in master spec,MINIMAL
R0295,19,Competitor & Traffic Intelligence,MARKETING,Competitor Intel,Traffic Source Analysis,,,yes,,yes,,Phase 18,No traffic-estimation provider (SimilarWeb-class) selected,not tested,See phase acceptance gate in master spec,MINIMAL
R0296,19,Competitor & Traffic Intelligence,MARKETING,Competitor Intel,SEO Analysis,,,yes,,yes,,Phase 18,No traffic-estimation provider (SimilarWeb-class) selected,not tested,See phase acceptance gate in master spec,MINIMAL
R0297,19,Competitor & Traffic Intelligence,MARKETING,Competitor Intel,Keyword Analysis,,,yes,,yes,,Phase 18,No traffic-estimation provider (SimilarWeb-class) selected,not tested,See phase acceptance gate in master spec,MINIMAL
R0298,19,Competitor & Traffic Intelligence,MARKETING,Competitor Intel,Content Analysis,,,yes,,yes,,Phase 18,No traffic-estimation provider (SimilarWeb-class) selected,not tested,See phase acceptance gate in master spec,MINIMAL
R0299,19,Competitor & Traffic Intelligence,MARKETING,Competitor Intel,Social Analysis,,,yes,,yes,,Phase 18,No traffic-estimation provider (SimilarWeb-class) selected,not tested,See phase acceptance gate in master spec,MINIMAL
R0300,19,Competitor & Traffic Intelligence,MARKETING,Competitor Intel,Offer Analysis,,,yes,,yes,,Phase 18,No traffic-estimation provider (SimilarWeb-class) selected,not tested,See phase acceptance gate in master spec,MINIMAL
R0301,19,Competitor & Traffic Intelligence,MARKETING,Competitor Intel,Pricing Analysis,,,yes,,yes,,Phase 18,No traffic-estimation provider (SimilarWeb-class) selected,not tested,See phase acceptance gate in master spec,MINIMAL
R0302,19,Competitor & Traffic Intelligence,MARKETING,Competitor Intel,Referral Analysis,,,yes,,yes,,Phase 18,No traffic-estimation provider (SimilarWeb-class) selected,not tested,See phase acceptance gate in master spec,MINIMAL
R0303,19,Competitor & Traffic Intelligence,MARKETING,Competitor Intel,Customer Sentiment,,,yes,,yes,,Phase 18,No traffic-estimation provider (SimilarWeb-class) selected,not tested,See phase acceptance gate in master spec,MINIMAL
R0304,19,Competitor & Traffic Intelligence,MARKETING,Competitor Intel,Customer Discovery,,,yes,,yes,,Phase 18,No traffic-estimation provider (SimilarWeb-class) selected,not tested,See phase acceptance gate in master spec,MINIMAL
R0305,19,Competitor & Traffic Intelligence,MARKETING,Competitor Intel,Competitor Monitoring,,,yes,,yes,,Phase 18,No traffic-estimation provider (SimilarWeb-class) selected,not tested,See phase acceptance gate in master spec,MINIMAL
R0306,19,Competitor & Traffic Intelligence,MARKETING,Competitor Intel,Observed/Estimated/Inferred labeling,,,yes,,yes,,Phase 18,No traffic-estimation provider (SimilarWeb-class) selected,not tested,See phase acceptance gate in master spec,MINIMAL
R0307,20,Sales & Revenue Engine,SALES,Sales Infra,Lead Generation,,,yes,,yes,,Phase 19,HubSpot/Salesforce API credentials (per-org),not tested,See phase acceptance gate in master spec,MINIMAL
R0308,20,Sales & Revenue Engine,SALES,Sales Infra,Lead Research,,,yes,,yes,,Phase 19,HubSpot/Salesforce API credentials (per-org),not tested,See phase acceptance gate in master spec,MINIMAL
R0309,20,Sales & Revenue Engine,SALES,Sales Infra,Lead Scoring,,,yes,,yes,,Phase 19,HubSpot/Salesforce API credentials (per-org),not tested,See phase acceptance gate in master spec,MINIMAL
R0310,20,Sales & Revenue Engine,SALES,Sales Infra,Prospecting,,,yes,,yes,,Phase 19,HubSpot/Salesforce API credentials (per-org),not tested,See phase acceptance gate in master spec,MINIMAL
R0311,20,Sales & Revenue Engine,SALES,Sales Infra,Qualification,,,yes,,yes,,Phase 19,HubSpot/Salesforce API credentials (per-org),not tested,See phase acceptance gate in master spec,MINIMAL
R0312,20,Sales & Revenue Engine,SALES,Sales Infra,Personalized Outreach,,,yes,,yes,,Phase 19,HubSpot/Salesforce API credentials (per-org),not tested,See phase acceptance gate in master spec,MINIMAL
